"time","site1","site2","proportion_site1","proportion_site2","magnetization"
0,1,99,0.01,0.99,-0.98
0.5,3,97,0.03,0.97,-0.94
1,4,96,0.04,0.96,-0.92
1.5,7,93,0.07,0.93,-0.86
2,7,93,0.07,0.93,-0.86
2.5,8,92,0.08,0.92,-0.84
3,8,92,0.08,0.92,-0.84
3.5,8,92,0.08,0.92,-0.84
4,8,92,0.08,0.92,-0.84
4.5,9,91,0.09,0.91,-0.82
5,9,91,0.09,0.91,-0.82
5.5,10,90,0.1,0.9,-0.8
6,12,88,0.12,0.88,-0.76
6.5,13,87,0.13,0.87,-0.74
7,13,87,0.13,0.87,-0.74
7.5,14,86,0.14,0.86,-0.72
8,13,87,0.13,0.87,-0.74
8.5,12,88,0.12,0.88,-0.76
9,12,88,0.12,0.88,-0.76
9.5,12,88,0.12,0.88,-0.76
10,13,87,0.13,0.87,-0.74
10.5,14,86,0.14,0.86,-0.72
11,16,84,0.16,0.84,-0.68
11.5,15,85,0.15,0.85,-0.7
12,18,82,0.18,0.82,-0.64
12.5,18,82,0.18,0.82,-0.64
13,20,80,0.2,0.8,-0.6
13.5,20,80,0.2,0.8,-0.6
14,19,81,0.19,0.81,-0.62
14.5,20,80,0.2,0.8,-0.6
15,20,80,0.2,0.8,-0.6
15.5,20,80,0.2,0.8,-0.6
16,20,80,0.2,0.8,-0.6
16.5,21,79,0.21,0.79,-0.58
17,21,79,0.21,0.79,-0.58
17.5,23,77,0.23,0.77,-0.54
18,25,75,0.25,0.75,-0.5
18.5,27,73,0.27,0.73,-0.46
19,28,72,0.28,0.72,-0.44
19.5,29,71,0.29,0.71,-0.42
20,30,70,0.3,0.7,-0.4
20.5,32,68,0.32,0.68,-0.36
21,31,69,0.31,0.69,-0.38
21.5,32,68,0.32,0.68,-0.36
22,32,68,0.32,0.68,-0.36
22.5,33,67,0.33,0.67,-0.34
23,36,64,0.36,0.64,-0.28
23.5,37,63,0.37,0.63,-0.26
24,37,63,0.37,0.63,-0.26
24.5,37,63,0.37,0.63,-0.26
25,38,62,0.38,0.62,-0.24
25.5,38,62,0.38,0.62,-0.24
26,38,62,0.38,0.62,-0.24
26.5,39,61,0.39,0.61,-0.22
27,39,61,0.39,0.61,-0.22
27.5,40,60,0.4,0.6,-0.2
28,40,60,0.4,0.6,-0.2
28.5,41,59,0.41,0.59,-0.18
29,39,61,0.39,0.61,-0.22
29.5,41,59,0.41,0.59,-0.18
30,42,58,0.42,0.58,-0.16
30.5,41,59,0.41,0.59,-0.18
31,43,57,0.43,0.57,-0.14
31.5,42,58,0.42,0.58,-0.16
32,43,57,0.43,0.57,-0.14
32.5,43,57,0.43,0.57,-0.14
33,41,59,0.41,0.59,-0.18
33.5,40,60,0.4,0.6,-0.2
34,41,59,0.41,0.59,-0.18
34.5,41,59,0.41,0.59,-0.18
35,41,59,0.41,0.59,-0.18
35.5,41,59,0.41,0.59,-0.18
36,40,60,0.4,0.6,-0.2
36.5,42,58,0.42,0.58,-0.16
37,43,57,0.43,0.57,-0.14
37.5,43,57,0.43,0.57,-0.14
38,43,57,0.43,0.57,-0.14
38.5,43,57,0.43,0.57,-0.14
39,43,57,0.43,0.57,-0.14
39.5,44,56,0.44,0.56,-0.12
40,44,56,0.44,0.56,-0.12
40.5,45,55,0.45,0.55,-0.1
41,45,55,0.45,0.55,-0.1
41.5,44,56,0.44,0.56,-0.12
42,43,57,0.43,0.57,-0.14
42.5,44,56,0.44,0.56,-0.12
43,45,55,0.45,0.55,-0.1
43.5,46,54,0.46,0.54,-0.08
44,44,56,0.44,0.56,-0.12
44.5,43,57,0.43,0.57,-0.14
45,44,56,0.44,0.56,-0.12
45.5,44,56,0.44,0.56,-0.12
46,45,55,0.45,0.55,-0.1
46.5,45,55,0.45,0.55,-0.1
47,45,55,0.45,0.55,-0.1
47.5,45,55,0.45,0.55,-0.1
48,45,55,0.45,0.55,-0.1
48.5,46,54,0.46,0.54,-0.08
49,47,53,0.47,0.53,-0.06
49.5,47,53,0.47,0.53,-0.06
50,48,52,0.48,0.52,-0.04
50.5,48,52,0.48,0.52,-0.04
51,47,53,0.47,0.53,-0.06
51.5,48,52,0.48,0.52,-0.04
52,47,53,0.47,0.53,-0.06
52.5,44,56,0.44,0.56,-0.12
53,45,55,0.45,0.55,-0.1
53.5,46,54,0.46,0.54,-0.08
54,45,55,0.45,0.55,-0.1
54.5,46,54,0.46,0.54,-0.08
55,46,54,0.46,0.54,-0.08
55.5,46,54,0.46,0.54,-0.08
56,46,54,0.46,0.54,-0.08
56.5,46,54,0.46,0.54,-0.08
57,45,55,0.45,0.55,-0.1
57.5,45,55,0.45,0.55,-0.1
58,47,53,0.47,0.53,-0.06
58.5,47,53,0.47,0.53,-0.06
59,46,54,0.46,0.54,-0.08
59.5,48,52,0.48,0.52,-0.04
60,47,53,0.47,0.53,-0.06
60.5,48,52,0.48,0.52,-0.04
61,50,50,0.5,0.5,0
61.5,50,50,0.5,0.5,0
62,51,49,0.51,0.49,0.02
62.5,50,50,0.5,0.5,0
63,50,50,0.5,0.5,0
63.5,49,51,0.49,0.51,-0.02
64,48,52,0.48,0.52,-0.04
64.5,47,53,0.47,0.53,-0.06
65,47,53,0.47,0.53,-0.06
65.5,46,54,0.46,0.54,-0.08
66,45,55,0.45,0.55,-0.1
66.5,45,55,0.45,0.55,-0.1
67,44,56,0.44,0.56,-0.12
67.5,44,56,0.44,0.56,-0.12
68,45,55,0.45,0.55,-0.1
68.5,45,55,0.45,0.55,-0.1
69,47,53,0.47,0.53,-0.06
69.5,47,53,0.47,0.53,-0.06
70,46,54,0.46,0.54,-0.08
70.5,45,55,0.45,0.55,-0.1
71,45,55,0.45,0.55,-0.1
71.5,44,56,0.44,0.56,-0.12
72,45,55,0.45,0.55,-0.1
72.5,46,54,0.46,0.54,-0.08
73,46,54,0.46,0.54,-0.08
73.5,47,53,0.47,0.53,-0.06
74,47,53,0.47,0.53,-0.06
74.5,47,53,0.47,0.53,-0.06
75,46,54,0.46,0.54,-0.08
75.5,46,54,0.46,0.54,-0.08
76,46,54,0.46,0.54,-0.08
76.5,46,54,0.46,0.54,-0.08
77,47,53,0.47,0.53,-0.06
77.5,48,52,0.48,0.52,-0.04
78,47,53,0.47,0.53,-0.06
78.5,47,53,0.47,0.53,-0.06
79,46,54,0.46,0.54,-0.08
79.5,46,54,0.46,0.54,-0.08
80,47,53,0.47,0.53,-0.06
80.5,46,54,0.46,0.54,-0.08
81,45,55,0.45,0.55,-0.1
81.5,44,56,0.44,0.56,-0.12
82,44,56,0.44,0.56,-0.12
82.5,44,56,0.44,0.56,-0.12
83,44,56,0.44,0.56,-0.12
83.5,44,56,0.44,0.56,-0.12
84,44,56,0.44,0.56,-0.12
84.5,44,56,0.44,0.56,-0.12
85,44,56,0.44,0.56,-0.12
