"time","site1","site2","proportion_site1","proportion_site2","magnetization"
0,0,100,0,1,-1
0.5,0,100,0,1,-1
1,1,99,0.01,0.99,-0.98
1.5,0,100,0,1,-1
2,0,100,0,1,-1
2.5,0,100,0,1,-1
3,0,100,0,1,-1
3.5,0,100,0,1,-1
4,0,100,0,1,-1
4.5,0,100,0,1,-1
5,0,100,0,1,-1
5.5,0,100,0,1,-1
6,2,98,0.02,0.98,-0.96
6.5,22,78,0.22,0.78,-0.56
7,21,79,0.21,0.79,-0.58
7.5,65,35,0.65,0.35,0.3
8,86,14,0.86,0.14,0.72
8.5,100,0,1,0,1
9,100,0,1,0,1
9.5,100,0,1,0,1
10,100,0,1,0,1
10.5,100,0,1,0,1
11,100,0,1,0,1
11.5,100,0,1,0,1
12,89,11,0.89,0.11,0.78
12.5,97,3,0.97,0.03,0.94
13,100,0,1,0,1
13.5,100,0,1,0,1
14,100,0,1,0,1
14.5,100,0,1,0,1
15,100,0,1,0,1
15.5,100,0,1,0,1
16,100,0,1,0,1
16.5,99,1,0.99,0.01,0.98
17,100,0,1,0,1
17.5,85,15,0.85,0.15,0.7
18,100,0,1,0,1
18.5,100,0,1,0,1
19,100,0,1,0,1
19.5,100,0,1,0,1
20,95,5,0.95,0.05,0.9
20.5,100,0,1,0,1
21,99,1,0.99,0.01,0.98
21.5,97,3,0.97,0.03,0.94
22,100,0,1,0,1
22.5,95,5,0.95,0.05,0.9
23,95,5,0.95,0.05,0.9
23.5,100,0,1,0,1
24,100,0,1,0,1
24.5,100,0,1,0,1
25,98,2,0.98,0.02,0.96
25.5,100,0,1,0,1
26,100,0,1,0,1
26.5,100,0,1,0,1
27,100,0,1,0,1
27.5,98,2,0.98,0.02,0.96
28,100,0,1,0,1
28.5,99,1,0.99,0.01,0.98
29,100,0,1,0,1
29.5,99,1,0.99,0.01,0.98
30,100,0,1,0,1
30.5,100,0,1,0,1
31,100,0,1,0,1
31.5,100,0,1,0,1
32,100,0,1,0,1
32.5,98,2,0.98,0.02,0.96
33,100,0,1,0,1
33.5,100,0,1,0,1
34,100,0,1,0,1
34.5,100,0,1,0,1
35,100,0,1,0,1
35.5,100,0,1,0,1
36,100,0,1,0,1
36.5,100,0,1,0,1
37,100,0,1,0,1
37.5,100,0,1,0,1
38,100,0,1,0,1
38.5,100,0,1,0,1
39,100,0,1,0,1
39.5,100,0,1,0,1
40,100,0,1,0,1
40.5,98,2,0.98,0.02,0.96
41,100,0,1,0,1
41.5,100,0,1,0,1
42,100,0,1,0,1
42.5,100,0,1,0,1
43,100,0,1,0,1
43.5,95,5,0.95,0.05,0.9
44,98,2,0.98,0.02,0.96
44.5,100,0,1,0,1
45,100,0,1,0,1
45.5,100,0,1,0,1
46,100,0,1,0,1
46.5,100,0,1,0,1
47,99,1,0.99,0.01,0.98
47.5,98,2,0.98,0.02,0.96
48,95,5,0.95,0.05,0.9
48.5,97,3,0.97,0.03,0.94
49,77,23,0.77,0.23,0.54
49.5,49,51,0.49,0.51,-0.02
50,22,78,0.22,0.78,-0.56
50.5,25,75,0.25,0.75,-0.5
51,33,67,0.33,0.67,-0.34
51.5,10,90,0.1,0.9,-0.8
52,18,82,0.18,0.82,-0.64
52.5,0,100,0,1,-1
53,2,98,0.02,0.98,-0.96
53.5,2,98,0.02,0.98,-0.96
54,0,100,0,1,-1
54.5,0,100,0,1,-1
55,0,100,0,1,-1
55.5,0,100,0,1,-1
56,0,100,0,1,-1
56.5,0,100,0,1,-1
57,0,100,0,1,-1
57.5,0,100,0,1,-1
58,0,100,0,1,-1
58.5,0,100,0,1,-1
59,2,98,0.02,0.98,-0.96
59.5,0,100,0,1,-1
60,1,99,0.01,0.99,-0.98
60.5,0,100,0,1,-1
61,17,83,0.17,0.83,-0.66
61.5,34,66,0.34,0.66,-0.32
62,21,79,0.21,0.79,-0.58
62.5,8,92,0.08,0.92,-0.84
63,3,97,0.03,0.97,-0.94
63.5,0,100,0,1,-1
64,0,100,0,1,-1
64.5,0,100,0,1,-1
65,0,100,0,1,-1
65.5,0,100,0,1,-1
66,0,100,0,1,-1
66.5,2,98,0.02,0.98,-0.96
67,0,100,0,1,-1
67.5,0,100,0,1,-1
68,0,100,0,1,-1
68.5,0,100,0,1,-1
69,0,100,0,1,-1
69.5,0,100,0,1,-1
70,0,100,0,1,-1
70.5,0,100,0,1,-1
71,0,100,0,1,-1
71.5,0,100,0,1,-1
72,0,100,0,1,-1
72.5,2,98,0.02,0.98,-0.96
73,0,100,0,1,-1
73.5,0,100,0,1,-1
74,2,98,0.02,0.98,-0.96
74.5,0,100,0,1,-1
75,0,100,0,1,-1
75.5,0,100,0,1,-1
76,0,100,0,1,-1
76.5,0,100,0,1,-1
77,0,100,0,1,-1
77.5,0,100,0,1,-1
78,0,100,0,1,-1
78.5,0,100,0,1,-1
79,0,100,0,1,-1
