"time","site1","site2","proportion_site1","proportion_site2","magnetization"
0,1,99,0.01,0.99,-0.98
0.5,21,79,0.21,0.79,-0.58
1,34,66,0.34,0.66,-0.32
1.5,39,61,0.39,0.61,-0.22
2,44,56,0.44,0.56,-0.12
2.5,47,53,0.47,0.53,-0.06
3,54,46,0.54,0.46,0.08
3.5,51,49,0.51,0.49,0.02
4,52,48,0.52,0.48,0.04
4.5,45,55,0.45,0.55,-0.1
5,50,50,0.5,0.5,0
5.5,55,45,0.55,0.45,0.1
6,53,47,0.53,0.47,0.06
6.5,50,50,0.5,0.5,0
7,49,51,0.49,0.51,-0.02
7.5,56,44,0.56,0.44,0.12
8,59,41,0.59,0.41,0.18
8.5,53,47,0.53,0.47,0.06
9,53,47,0.53,0.47,0.06
9.5,53,47,0.53,0.47,0.06
10,53,47,0.53,0.47,0.06
10.5,56,44,0.56,0.44,0.12
11,52,48,0.52,0.48,0.04
11.5,60,40,0.6,0.4,0.2
12,55,45,0.55,0.45,0.1
12.5,51,49,0.51,0.49,0.02
13,50,50,0.5,0.5,0
13.5,47,53,0.47,0.53,-0.06
14,52,48,0.52,0.48,0.04
14.5,52,48,0.52,0.48,0.04
15,50,50,0.5,0.5,0
15.5,57,43,0.57,0.43,0.14
16,52,48,0.52,0.48,0.04
16.5,47,53,0.47,0.53,-0.06
17,41,59,0.41,0.59,-0.18
17.5,42,58,0.42,0.58,-0.16
18,50,50,0.5,0.5,0
18.5,53,47,0.53,0.47,0.06
19,55,45,0.55,0.45,0.1
19.5,54,46,0.54,0.46,0.08
20,53,47,0.53,0.47,0.06
20.5,57,43,0.57,0.43,0.14
21,52,48,0.52,0.48,0.04
21.5,51,49,0.51,0.49,0.02
22,51,49,0.51,0.49,0.02
22.5,51,49,0.51,0.49,0.02
23,51,49,0.51,0.49,0.02
23.5,51,49,0.51,0.49,0.02
24,50,50,0.5,0.5,0
24.5,54,46,0.54,0.46,0.08
25,57,43,0.57,0.43,0.14
25.5,50,50,0.5,0.5,0
26,55,45,0.55,0.45,0.1
26.5,55,45,0.55,0.45,0.1
27,50,50,0.5,0.5,0
27.5,51,49,0.51,0.49,0.02
28,48,52,0.48,0.52,-0.04
28.5,44,56,0.44,0.56,-0.12
29,49,51,0.49,0.51,-0.02
29.5,52,48,0.52,0.48,0.04
30,55,45,0.55,0.45,0.1
30.5,50,50,0.5,0.5,0
31,45,55,0.45,0.55,-0.1
31.5,49,51,0.49,0.51,-0.02
32,52,48,0.52,0.48,0.04
32.5,57,43,0.57,0.43,0.14
33,49,51,0.49,0.51,-0.02
33.5,55,45,0.55,0.45,0.1
34,53,47,0.53,0.47,0.06
34.5,52,48,0.52,0.48,0.04
35,57,43,0.57,0.43,0.14
35.5,53,47,0.53,0.47,0.06
36,46,54,0.46,0.54,-0.08
36.5,48,52,0.48,0.52,-0.04
37,49,51,0.49,0.51,-0.02
37.5,52,48,0.52,0.48,0.04
38,54,46,0.54,0.46,0.08
38.5,44,56,0.44,0.56,-0.12
39,53,47,0.53,0.47,0.06
39.5,60,40,0.6,0.4,0.2
40,54,46,0.54,0.46,0.08
40.5,56,44,0.56,0.44,0.12
41,51,49,0.51,0.49,0.02
41.5,53,47,0.53,0.47,0.06
42,54,46,0.54,0.46,0.08
42.5,53,47,0.53,0.47,0.06
43,51,49,0.51,0.49,0.02
43.5,47,53,0.47,0.53,-0.06
44,49,51,0.49,0.51,-0.02
44.5,47,53,0.47,0.53,-0.06
45,53,47,0.53,0.47,0.06
45.5,57,43,0.57,0.43,0.14
46,52,48,0.52,0.48,0.04
46.5,51,49,0.51,0.49,0.02
47,47,53,0.47,0.53,-0.06
47.5,44,56,0.44,0.56,-0.12
48,43,57,0.43,0.57,-0.14
48.5,40,60,0.4,0.6,-0.2
49,46,54,0.46,0.54,-0.08
49.5,44,56,0.44,0.56,-0.12
50,48,52,0.48,0.52,-0.04
50.5,44,56,0.44,0.56,-0.12
51,49,51,0.49,0.51,-0.02
51.5,53,47,0.53,0.47,0.06
52,52,48,0.52,0.48,0.04
52.5,47,53,0.47,0.53,-0.06
53,53,47,0.53,0.47,0.06
53.5,53,47,0.53,0.47,0.06
54,53,47,0.53,0.47,0.06
54.5,53,47,0.53,0.47,0.06
55,55,45,0.55,0.45,0.1
55.5,51,49,0.51,0.49,0.02
56,49,51,0.49,0.51,-0.02
56.5,47,53,0.47,0.53,-0.06
57,49,51,0.49,0.51,-0.02
57.5,59,41,0.59,0.41,0.18
58,57,43,0.57,0.43,0.14
58.5,52,48,0.52,0.48,0.04
59,50,50,0.5,0.5,0
59.5,53,47,0.53,0.47,0.06
60,46,54,0.46,0.54,-0.08
60.5,43,57,0.43,0.57,-0.14
61,40,60,0.4,0.6,-0.2
61.5,48,52,0.48,0.52,-0.04
62,44,56,0.44,0.56,-0.12
62.5,40,60,0.4,0.6,-0.2
63,45,55,0.45,0.55,-0.1
63.5,49,51,0.49,0.51,-0.02
64,51,49,0.51,0.49,0.02
64.5,45,55,0.45,0.55,-0.1
65,52,48,0.52,0.48,0.04
65.5,54,46,0.54,0.46,0.08
66,48,52,0.48,0.52,-0.04
66.5,45,55,0.45,0.55,-0.1
67,51,49,0.51,0.49,0.02
67.5,56,44,0.56,0.44,0.12
68,47,53,0.47,0.53,-0.06
68.5,46,54,0.46,0.54,-0.08
69,54,46,0.54,0.46,0.08
69.5,53,47,0.53,0.47,0.06
70,46,54,0.46,0.54,-0.08
70.5,53,47,0.53,0.47,0.06
71,58,42,0.58,0.42,0.16
71.5,59,41,0.59,0.41,0.18
72,53,47,0.53,0.47,0.06
72.5,52,48,0.52,0.48,0.04
73,46,54,0.46,0.54,-0.08
73.5,49,51,0.49,0.51,-0.02
74,44,56,0.44,0.56,-0.12
74.5,42,58,0.42,0.58,-0.16
75,48,52,0.48,0.52,-0.04
75.5,50,50,0.5,0.5,0
76,50,50,0.5,0.5,0
76.5,53,47,0.53,0.47,0.06
77,54,46,0.54,0.46,0.08
77.5,55,45,0.55,0.45,0.1
78,59,41,0.59,0.41,0.18
78.5,59,41,0.59,0.41,0.18
79,53,47,0.53,0.47,0.06
79.5,48,52,0.48,0.52,-0.04
80,46,54,0.46,0.54,-0.08
80.5,50,50,0.5,0.5,0
81,56,44,0.56,0.44,0.12
81.5,50,50,0.5,0.5,0
82,47,53,0.47,0.53,-0.06
82.5,49,51,0.49,0.51,-0.02
83,44,56,0.44,0.56,-0.12
83.5,40,60,0.4,0.6,-0.2
84,40,60,0.4,0.6,-0.2
84.5,41,59,0.41,0.59,-0.18
85,48,52,0.48,0.52,-0.04
85.5,53,47,0.53,0.47,0.06
86,48,52,0.48,0.52,-0.04
86.5,40,60,0.4,0.6,-0.2
87,42,58,0.42,0.58,-0.16
87.5,34,66,0.34,0.66,-0.32
88,44,56,0.44,0.56,-0.12
88.5,45,55,0.45,0.55,-0.1
89,44,56,0.44,0.56,-0.12
89.5,44,56,0.44,0.56,-0.12
90,39,61,0.39,0.61,-0.22
90.5,40,60,0.4,0.6,-0.2
91,44,56,0.44,0.56,-0.12
91.5,49,51,0.49,0.51,-0.02
92,38,62,0.38,0.62,-0.24
92.5,45,55,0.45,0.55,-0.1
93,41,59,0.41,0.59,-0.18
93.5,46,54,0.46,0.54,-0.08
94,45,55,0.45,0.55,-0.1
94.5,47,53,0.47,0.53,-0.06
95,52,48,0.52,0.48,0.04
95.5,50,50,0.5,0.5,0
96,46,54,0.46,0.54,-0.08
96.5,52,48,0.52,0.48,0.04
97,53,47,0.53,0.47,0.06
97.5,49,51,0.49,0.51,-0.02
98,58,42,0.58,0.42,0.16
98.5,53,47,0.53,0.47,0.06
99,50,50,0.5,0.5,0
99.5,52,48,0.52,0.48,0.04
