Territory	sizes

1.	3.78
2.	3.69
3.	4.88
4.	4.77
5.	4.87
6.	3.16
7.	5.42
8.	4.81
9.	4.14
10.	4.95
11.	4.16
12.	4.70
13.	5.69
14.	3.71
15.	3.50
16.	4.63
17.	5.63
18.	4.81
19.	4.02
20.	5.52
21.	1.70
22.	3.90
23.	1.90
24.	4.89
25.	3.43
26.	5.23
27.	6.05
28.	2.21
29.	6.13
30.	6.13
31.	2.64
32.	3.23
33.	5.39
34.	4.96
35.	5.06
36.	4.97
37.	4.53
38.	4.39
39.	4.22
40.	4.55
41.	5.28
42.	5.08
43.	2.26
44.	5.51
45.	2.07
46.	2.51
47.	4.71
48.	4.29
49.	5.72
50.	3.62
51.	3.70
52.	3.79
53.	4.12
54.	4.79
55.	4.92
56.	2.58
57.	1.70
58.	2.58
59.	4.41
60.	3.73
61.	4.27
62.	3.57
63.	3.70
64.	4.76
65.	3.99
66.	2.36
67.	1.74
68.	0.59
69.	4.31
70.	4.57
71.	4.05
72.	4.75
73.	4.66
74.	3.25
75.	4.85
76.	4.90
77.	5.27
78.	2.52
79.	4.75
80.	4.41
81.	4.98
82.	3.25
83.	4.57
84.	3.27
85.	3.58
86.	4.04
87.	3.67
88.	4.16
89.	6.07
90.	2.87
91.	2.44
92.	4.34
93.	3.25
94.	2.86
95.	4.14
96.	3.57
97.	3.34
98.	3.80
99.	4.04
100.	4.71
101.	5.08
102.	3.99
103.	3.45
104.	2.10
105.	2.44
106.	2.92
107.	5.27
108.	4.70
109.	2.99
110.	3.15
111.	2.92
112.	4.28
113.	4.00
114.	2.43
115.	3.59
116.	2.73
117.	2.01
118.	2.93
119.	2.93
120.	2.61
121.	1.67
122.	2.00
123.	1.77
124.	2.57
125.	2.33
126.	2.81
127.	3.13
128.	3.76
129.	2.56
130.	4.34
131.	2.74
132.	2.03
133.	3.16
134.	2.50
135.	2.41
136.	2.43
137.	4.37
138.	3.20
139.	3.04
140.	2.89
141.	2.35
142.	2.11
143.	1.99
144.	1.76
145.	1.45
146.	3.62
147.	4.33
148.	2.49
149.	3.83
150.	2.23
151.	2.29
152.	2.63
153.	3.21
154.	2.99
155.	5.75
156.	4.17
157.	1.76
158.	1.79
159.	5.58
160.	3.42
161.	3.82
162.	2.02
163.	2.68
164.	2.15
165.	3.05
166.	1.67
167.	2.06
168.	2.06
169.	1.59
170.	3.34
171.	3.55
172.	1.62
173.	2.96
174.	2.96
175.	2.85
